from_addr,payments,recipients,usdc
0x89d10cde68e67394ed7f8b5abdf5a584189edd56,193,1,4.141000
0x460833149aceb362925a230090315735f81a2127,193,1,4.024800
0xbfcb91b5f7b84cea08da977fd39f344a8515d14f,193,3,3.673200
0x05f82ade4d52f931728fc8d6458d667f6f39ed41,192,1,0.008918
0xd7a1fcb0ac1f0a5136f584d3f07bde6aca6cdfe5,192,1,1.344000
0x14a9206f4a55679a815c44472d8a01e35b784747,188,1,14.170000
0xae9e39b4ce25361a45547775ae01be577049222f,186,14,1.238000
0x57d3af387e083f92597010d25b38ee281874cb39,185,1,3.141000
0x4a5d9c9cb3ea3b605856a7a69e035e40cdd1b9e0,185,2,5.620000
0x643c9ae0abb375aa894b3db3f03dff34f39f02fd,184,1,3.532400
0x1aee6d0378985e1ace4dca3682dc26f73d983477,184,1,0.253000
0x32586a0ad264e87da48c2efa6779a577a414ebce,184,1,6.595000
0xa4b6d209c3a129832a81d3ad8ea256c5019f3a2e,183,1,2.396000
0x2b53edf9f8335a68dd31b3e9489a15781676fe2a,183,1,4.311200
0x8f93abb3636628f0c514076b1870d68812d056d2,182,1,0.345500
0x8ae37331c3ca5bc32a643ae805998606222633b4,181,1,17.560000
0x2abc38e747b14d2471e8c44dc02e5ccfe6b61a8d,181,1,4.486600
0xf0686745dc961c50f67ba2f994b8d19cd875258e,181,1,3.949400
0x64590094d053604081d027a1da926f2a97b18599,180,1,4.400200
0x2b9efb60ae03c39f7684a9ae6eb202cd9dca41a4,179,1,4.042000
0xf5c5455b4ce98762709b28b40ed9e52466eaa03b,179,1,4.117200
0x941923fdb9c1bcb2212311a7a153f6d59e6057aa,178,1,2.976000
0x71264527f868f3ef24dd1ea842666cb02ef7004d,177,1,3.325800
0xf4972163ac415b7c90376bf08f74f5df63492fb0,177,5,8.872000
0x27ac1983342022ccb07068e029d9e29432eed237,176,2,10.463000
0x85ed02ee249edadaed9e07ec37e5d4ac150c67d5,175,11,11.128201
0x801f99741a23efa4b592b3663c6020903d6d299e,174,2,4.715200
0xaba8f54c6ca032973d42de041f55dc2b5b3cc6fa,173,2,3.276400
0xa74f75bbade9bbf497b48aff4d3bc436a03be2f4,172,69,7.332750
0x09da41e97d1434645df23591bd61d240f4e40a15,172,1,16.570000
0xff9f8d44a0dad1e3a929b40a0933fdde0fd40e32,171,1,4.593600
0x3cbe7b736c5a6fc726046d1399c8901e33a0daec,170,1,0.025500
0xba1c8b9267fb0cb89296fcf3baa60edc6d301afb,168,1,5.108800
0x1546e6b222dd17c330caabb5af723eaccf7680cb,167,1,0.326720
0x6fd92e11df636847c783b381b740aa63d9f462b4,166,9,2.323800
0x6fc8b423f8ddc38589e68006d11c7ad98ac6e167,166,1,16.330000
0xeb1af442219dbab22ae1e4130824bb7f511b6d03,165,1,5.590000
0xae24939eb3b5f0ece7db6dba8fab7b8c19144040,164,6,28.932500
0x14ee03d4413d55396147829e328eb0faf70b346b,164,1,15.680000
0xbaa124f824a58dcb06360260449ba8c3948080bc,164,1,14.780000
0xe6c57e7771c041b9ad9ef17b4ddf3611e1d7d0ac,163,2,12.847200
0xf674813da40f04f3ab9f2ef370827406287351d6,162,2,9.561000
0xe40af8d6c95358470e61ffc40e9db414518f1780,162,1,2.146600
0x01d4db3a969a9603ed6e31253dddf02941579554,161,7,4.560100
0xa51bbb6e79878240058445c498f532b63d1d6935,161,1,3.630000
0x14fb24b8553c7c51237fa8dc4ebb699d556b999b,161,2,1.099403
0xbf3416607772a7bffe543b2a9240cbd0e2efa284,160,1,15.370000
0x5969e109437015ae9e6db43d2419a34dc25db84a,158,2,2.218000
0x6a2754867af13749ec3f1974e072f8bdb6e9f993,158,1,152.265173
0x1878b2cf46816b6d99e3bc37e651b50a6a54c4ce,158,1,14.360000
0xf7dcf5489a29c6e8e83369710aab965d5e4317b8,157,1,15.571226
0xb6539e6066072fdd8a44d179e5d425e986703b1c,157,1,3.260000
0x8c51d43d34296e542506102769882855e93c769c,157,1,23.550000
0x7be0a5fbadddc2bd29dafd972ba79a92c7336aa0,156,1,13.890000
0x0a7108d28778634bfe2e74159a24e68fd3d876a5,156,10,23.660283
0x3a0aa040b8785babc28b8436065dd2057c17773e,156,52,3.120575
0x715a65d2342b520e7ae40ed8026e805c54f8f728,156,1,0.284980
0xebb314b43a468ce6509840fc91e8393f622a2f95,154,1,14.590000
0x6af60d245982296b92354aa3904844194b8be168,153,2,203.400000
0x02a8f58886f4dd25648d9e6f2db0f730804fcd60,152,1,1.641000
0x4f282bfa1f200708d4606b94f692e943c1e5fec6,152,1,2.340000
0x4b32029eeb47ed8bfdebde7b979c3f9daa043161,151,3,11.560000
0xdd5ff8f84d3f5487d3cde5dd8ef3f356fb92d05a,151,12,9.244000
0x3b3ef9fdfd010eaf75a0c8936eb55301f980e1e7,151,1,13.750000
0x5ef6329896cc44d32398b727fd0f042ba472308d,150,1,14.550000
0x3c9e6543cc1fcfedc9e75cb8fd308db7b13d68b5,149,3,16.650000
0x6d57953dde041aaa2a53934c01118045321d4391,147,1,1.902133
0xfae1427179dd5570bbe373b66bfceb5466cafd47,147,1,13.440000
0x6b6244700ceb434a2801e5adfbb3371bd426b7bd,146,1,4.320000
0xeee6d7de846a199888e629c437b3ab3090c46592,146,1,0.296180
0xdd5ea006bf8ac5493524ea60e1d17b02ba09fdef,145,1,5.061000
0x08dc5aa7d1086954886c02be127ca2c7616ad4c2,144,1,0.264620
0x7634049659b25b076282efe4604e729b2100eac5,143,2,1.449000
